Reference, Quantity, Value, Footprint, Datasheet, part, farnell,
R103 ,1,2.2k,Resistors_SMD:R_Array_Concave_4x0603,,EXB38V222JV,2060102,
R104 R110 ,2,1k,Resistors_SMD:R_Array_Concave_4x0603,,EXB38V102JV,2060100,
R105 ,1,100k,Resistors_SMD:R_0805,,MC01W08051100K,9332405,
R107 ,1,2k,Resistors_SMD:R_0805,,MC01W080512K,9332766,
R108 R109 ,2,1M,Resistors_SMD:R_0805,,MC01W080511M,9332413,
R111 R112 R113 R114 ,4,15k,Resistors_SMD:R_0805,,ERJP06F1502V,1750772,
R115 R116 ,2,16.9k,Resistors_SMD:R_0805,,MC01W0805116K9,2141858,
R17 R34 R51 R68 ,4,43,Resistors_SMD:R_0805,,MC01W0805143R,9333240,
R20 R21 R22 R24 R37 R38 R39 R41 R54 R55 R56 R58 R71 R72 R73 R75 ,16,0.002,Resistors_SMD:R_1206,,ULR1S-R002FT2,1621962,
R19 R23 R36 R40 R53 R57 R70 R74 ,8,100,Resistors_SMD:R_0805,,MC01W08051100R,9332375,
R14 R15 R25 R26 R31 R32 R42 R43 R48 R49 R59 R60 R65 R66 R76 R77 ,16,10,Resistors_SMD:R_0805,,WF08P10R0FTL,2502783,
R101 R106 R3 R4 R6 R7 R8 R84 R9 R99 ,10,1k,Resistors_SMD:R_0805,,MC01W080511K,9332383,
R1 R10 R100 R11 R117 R118 R119 R12 R120 R13 R16 R18 R2 R27 R28 R29 R30 R33 R35 R44 R45 R46 R47 R5 R50 R52 R61 R62 R63 R64 R67 R69 R78 R83 R86 R88 R90 R91 R94 R95 R96 R97 R98 ,43,10k,Resistors_SMD:R_0805,,MC01W0805110K,9332391,
R79 ,1,0.150 1/2W,Resistors_SMD:R_1206,,WW12PR150FTL,2503066,
R80 R82 ,2,220k,Resistors_SMD:R_0805,,MC01W08051220K,9332839,
R81 ,1,12k,Resistors_SMD:R_0805,,MC01W0805112K,9332502,
R85 ,1,3k,Resistors_SMD:R_0805,,MC01W080513K,9332995,
R87 ,1,255,Resistors_SMD:R_0805,,ERJ6ENF2550V,2303484,
R89 ,1,120,Resistors_SMD:R_0805,,MC01W08051120R,9332480,
R92 R93 ,2,330,Resistors_SMD:R_0805,,MC01W08051330R,9333037,
U1 U3 ,2,74LVC00,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,SN74LVC00APWR,,1105931
U2 U35 U4 ,3,74LVC08,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,74LVC08APW-Q100.11,2445097,
U21 ,1,MIC2619,TO_SOT_Packages_SMD:SOT-23-6,,MIC2619YD6-TR,2509963,
U22 ,1,MC34063,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,MC34063ABD-TR,1087205,
U23 ,1,LD1117S33CTR,TO_SOT_Packages_SMD:SOT-223,,LD1117S33CTR,1467779,
U24 ,1,CAT25160_EEPROM,Housings_SSOP:TSSOP-8_4.4x3mm_Pitch0.65mm,,CAT25160YI-GT3,2534647,
U25 ,1,STM32F373RBTx,Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm,,STM32F373RBT6,2333277,
U26 ,1,SN65HVD1050D,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,SN65HVD1050D,1220984,
U27 ,1,SN74LVC245ADBR,Housings_SSOP:SSOP-20_5.3x7.2mm_Pitch0.65mm,,SN74LVC245ADBR,1595415,
U28 ,1,SN74HC20,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,SN74HC20PW,1741207,
U29 ,1,SN74HC02,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,SN74HC02PWR,9590927,
U30 ,1,SN74HC132,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,,SN74HC132PWR,2342491,
U31 U32 ,2,MAX232,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,,MAX202IPW,2335478,
U33 U34 ,2,NCV1124,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,NCV1124DR2G,2534601,
U13 U17 U5 U9 ,4,LM2903,Housings_SSOP:TSSOP-8_4.4x3mm_Pitch0.65mm,,LM2903PT,1094243,
U11 U15 U19 U7 ,4,ZXCT1082,TO_SOT_Packages_SMD:SOT-23-5,,ZXCT1082E5TA,1904025,
U10 U12 U14 U16 U18 U20 U6 U8 ,8,IRS2304,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,IRS2304SPBF,1498208,
VR1 VR2 VR3 ,3,VR,Resistors_SMD:R_1206,,VCAS120614A300DP,2346678,
W1 ,1,TP_Safe_to_release,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,,,
W2 ,1,TP_Tighten_cmd,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,,,,
Y1 ,1,24Mhz,Crystals:ABM3,,ABM3-24.000MHZ-D2Y-T,2467794,
