eeschema (2013-jul-07)-stable  >> Creation date: mån  3 aug 2015 11:24:03
#Cmp ( order = Reference )
| C1         1000uF      http://www.farnell.com/datasheets/1884702.pdf; kicad_lib:SMD_Cap_16x16.5; http://www.farnell.com/datasheets/1884702.pdf; EEEFK1H102AM; 1850136     ;             ;             ;             ;             ;             ;             
| Q1         BSS138                          ; Housings_SOT-23_SOT-143_TSOT-6:SOT-23;             ; 2053833     ; BSS138BK    ;             ;             ;             ;             ;             ;             
| Q2         BC847                           ; Housings_SOT-23_SOT-143_TSOT-6:SOT-23;             ; 1773609     ; BC847C-7-F  ;             ;             ;             ;             ;             ;             
| R1         1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R2         1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R3         150R                            ; Resistors_SMD:R_0805;             ; ERJ6ENF1500V; 2303460     ;             ;             ;             ;             ;             ;             
| R4         500R                            ; Resistors_SMD:R_0805;             ; 2303491     ; ERJ6ENF3000V;             ;             ;             ;             ;             ;             
| R5         1k                              ; Resistors_SMD:R_0805;             ; 1577659     ; ERA6AEB102V ;             ;             ;             ;             ;             ;             
| R6         1k                              ; Resistors_SMD:R_0805;             ;             ;             ;             ;             ;             ;             ;             ;             
| R7         1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R8         10k                             ; Resistors_SMD:R_0805;             ; CR0805-FX-1002ELF; 612522      ;             ;             ;             ;             ;             ;             
| R9         1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R10        4,7k                            ; Resistors_SMD:R_0805;             ; 2333572     ; CR0805-FX-4701ELF;             ;             ;             ;             ;             ;             
| R11        10k                             ; Resistors_SMD:R_0805;             ; 612522      ; CR0805-FX-1002ELF;             ;             ;             ;             ;             ;             
| R12        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R13        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R14        150R                            ; Resistors_SMD:R_0805;             ; ERJ6ENF1500V; 2303460     ;             ;             ;             ;             ;             ;             
| R15        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R16        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R17        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R18        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R19        150R                            ; Resistors_SMD:R_0805;             ; 2303460     ; ERJ6ENF1500V;             ;             ;             ;             ;             ;             
| R20        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R21        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R22        150R                            ; Resistors_SMD:R_0805;             ; ERJ6ENF1500V; 2303460     ;             ;             ;             ;             ;             ;             
| R23        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R24        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R25        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R26        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R27        10k                             ; Resistors_SMD:R_0805;             ; CR0805-FX-1002ELF; 612522      ;             ;             ;             ;             ;             ;             
| R28        10k                             ; Resistors_SMD:R_0805;             ; CR0805-FX-1002ELF; 612522      ;             ;             ;             ;             ;             ;             
| R29        500R                            ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| R30        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R31        500R                            ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| R32        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R33        10k                             ; Resistors_SMD:R_0805;             ; CR0805-FX-1002ELF; 612522      ;             ;             ;             ;             ;             ;             
| R34        10k                             ; Resistors_SMD:R_0805;             ; CR0805-FX-1002ELF; 612522      ;             ;             ;             ;             ;             ;             
| R35        500R                            ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| R36        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R37        500R                            ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| R38        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R39        10k                             ; Resistors_SMD:R_0805;             ; CR0805-FX-1002ELF; 612522      ;             ;             ;             ;             ;             ;             
| R40        2k                              ; Resistors_SMD:R_0805;             ; MCTC0525B2001T5E; 1575826     ;             ;             ;             ;             ;             ;             
| R41        10k                             ; Resistors_SMD:R_0805;             ; CR0805-FX-1002ELF; 612522      ;             ;             ;             ;             ;             ;             
| R42        500R                            ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| R43        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R44        500R                            ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| R45        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R46        2k                              ; Resistors_SMD:R_0805;             ; MCTC0525B2001T5E; 1575826     ;             ;             ;             ;             ;             ;             
| R47        10k                             ; Resistors_SMD:R_0805;             ; CR0805-FX-1002ELF; 612522      ;             ;             ;             ;             ;             ;             
| R48        10k                             ; Resistors_SMD:R_0805;             ; CR0805-FX-1002ELF; 612522      ;             ;             ;             ;             ;             ;             
| R49        500R                            ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| R50        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R51        500R                            ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| R52        1k                              ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| R53        120R        http://www.farnell.com/datasheets/1678782.pdf; Resistors_SMD:R_0805_HandSoldering; http://www.farnell.com/datasheets/1678782.pdf; 2303452     ; ERJ6ENF1200V;             ;             ;             ;             ;             ;             
| U1         ITS5215L    http://www.farnell.com/datasheets/85674.pdf; kicad_lib:PG-DSO-12-2; http://www.farnell.com/datasheets/85674.pdf; ITS5215L    ; 1426197     ;             ;             ;             ;             ;             ;             
| U2         BTS6133D    http://www.farnell.com/datasheets/85594.pdf; SMD_Packages:DPAK-5; http://www.farnell.com/datasheets/85594.pdf; 1440811     ; BTS6133D    ;             ;             ;             ;             ;             ;             
| U3         ITS5215L                        ; kicad_lib:PG-DSO-12-2;             ; 1426197     ;             ;             ;             ;             ;             ;             ;             
| U4         ITS5215L                        ; kicad_lib:PG-DSO-12-2;             ; 1426197     ;             ;             ;             ;             ;             ;             ;             
| U5         ITS5215L                        ; kicad_lib:PG-DSO-12-2;             ; 1426197     ;             ;             ;             ;             ;             ;             ;             
| U6         LM224       http://www.farnell.com/datasheets/81842.pdf; SMD_Packages:SOIC-14_N; http://www.farnell.com/datasheets/81842.pdf; LM224DR2G   ; 1426352     ;             ;             ;             ;             ;             ;             
| U7         LM224       http://www.farnell.com/datasheets/81842.pdf; SMD_Packages:SOIC-14_N; http://www.farnell.com/datasheets/81842.pdf; LM224DR2G   ; 1426352     ;             ;             ;             ;             ;             ;             
| U8         SN65HVD1050Dhttp://www.farnell.com/datasheets/1804905.pdf; Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm; http://www.farnell.com/datasheets/1804905.pdf; 1220984     ; SN65HVD1050D;             ;             ;             ;             ;             ;             
| U9         LM2574M-5   http://www.farnell.com/datasheets/1896110.pdf; kicad_lib:SOIC14_W; http://www.farnell.com/datasheets/1896110.pdf; 9489908     ;             ;             ;             ;             ;             ;             ;             
| U10        Teensy3.1   https://www.pjrc.com/teensy/pinout.html; kicad_lib:teensy3.1_w_underside; https://www.pjrc.com/teensy/pinout.html; Teensy3.1   ; 2430007     ;             ;             ;             ;             ;             ;             
| VR1        14V         http://www.farnell.com/datasheets/1228202.pdf; Resistors_SMD:R_1206_HandSoldering; http://www.farnell.com/datasheets/1228202.pdf; V14MLA1206NHAUTO; 1863849     ;             ;             ;             ;             ;             ;             
#End Cmp

#Cmp ( order = Value )
| 220nF        C2        ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| 220nF        C3        ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| 220nF        C4        ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| 220nF        C5        ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| 220nF        C6        ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| 220nF        C9        ; Capacitors_SMD:C_0805;             ; C0805C224K5RACTU; 1288261     ;             ;             ;             ;             ;             ;             
| 220nF        C10       ; Capacitors_SMD:C_0805;             ; C0805C224K5RACTU; 1288261     ;             ;             ;             ;             ;             ;             
| 220nF        C17       ; Capacitors_SMD:C_0805;             ; 1288261     ; C0805C224K5RACTU;             ;             ;             ;             ;             ;             
| 1uF          C7        ; Capacitors_SMD:C_0805;             ; C0805C105K5RACTU; 2118131     ;             ;             ;             ;             ;             ;             
| 1uF          C8        ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| 1uF          C11       ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| 1uF          C12       ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| 1uF          C13       ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| 1uF          C14       ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| 1uF          C15       ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| 1uF          C16       ; Capacitors_SMD:C_0805;             ; 2118131     ; C0805C105K5RACTU;             ;             ;             ;             ;             ;             
| 47uF lowESR  C18       ; Capacitors_SMD:c_elec_6.3x7.7; http://www.farnell.com/datasheets/1679509.pdf; EEETQV470XAP; 2254474     ;             ;             ;             ;             ;             ;             
| 470uF low esr C19       ; Capacitors_SMD:c_elec_8x10.5; http://www.farnell.com/datasheets/1790597.pdf; EEEFT1E471AP; 1868411     ;             ;             ;             ;             ;             ;             
| 1000uF       C1        ; kicad_lib:SMD_Cap_16x16.5; http://www.farnell.com/datasheets/1884702.pdf; EEEFK1H102AM; 1850136     ;             ;             ;             ;             ;             ;             
| conn_molex_36638-48pin conn1     ;             ; http://www.farnell.com/datasheets/1780492.pdf; 1830389     ; MOLEX  36638-0002;             ;             ;             ;             ;             ;             
| 3.3V         D2        ; Diodes_SMD:SOD-323;             ; PDZ3.3B,115 ; 1757856     ;             ;             ;             ;             ;             ;             
| 3,3V         D5        ; Diodes_SMD:SOD-323;             ; PDZ3.3B,115 ; 1757856     ;             ;             ;             ;             ;             ;             
| SS110        D12       ; Diodes_SMD:Diode-SMA_Handsoldering; http://www.farnell.com/datasheets/1662144.pdf; 4085140     ;             ;             ;             ;             ;             ;             ;             
| RightFill_Led D1        ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| CompressorLED D3        ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| LeftFill_Led D4        ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| RightDump_Led D6        ; LEDs:LED-0805;             ; 2290331     ; KP-2012CGCK ;             ;             ;             ;             ;             ;             
| LeftDump_Led D7        ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| Spare1_Led   D8        ; LEDs:LED-0805;             ; 2290331     ; KP-2012CGCK ;             ;             ;             ;             ;             ;             
| Airdryer_Led D9        ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| RightSuck_Led D10       ; LEDs:LED-0805;             ; 2290331     ; KP-2012CGCK ;             ;             ;             ;             ;             ;             
| LeftSuck_Led D11       ; LEDs:LED-0805;             ; KP-2012CGCK ; 2290331     ;             ;             ;             ;             ;             ;             
| 15R PTC fuse F1        ; Resistors_SMD:R_1210; http://www.farnell.com/datasheets/1468628.pdf; 1345917     ; MICROSMD010F-2;             ;             ;             ;             ;             ;             
| 15R PTC fuse F2        ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| 15R PTC fuse F3        ; Resistors_SMD:R_1210;             ; 1345917     ; MICROSMD010F-2;             ;             ;             ;             ;             ;             
| 15R PTC fuse F4        ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| 15R PTC fuse F5        ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| 15R PTC fuse F6        ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| 15R PTC fuse F7        ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| 15R PTC fuse F8        ; Resistors_SMD:R_1210;             ; MICROSMD010F-2; 1345917     ;             ;             ;             ;             ;             ;             
| CAN_fullspeed JP1       ; Oddities:NetTie-I_Connected_SMD;             ;             ;             ;             ;             ;             ;             ;             ;             
| CAN_Silent   JP2       ; Oddities:NetTie-I_SMD;             ;             ;             ;             ;             ;             ;             ;             ;             
| 470uH        L1        ; kicad_lib:Inductor_MSS1260; http://www.farnell.com/datasheets/1681951.pdf; MSS1260-474KLD; 2288415     ;             ;             ;             ;             ;             ;             
| BSS138       Q1        ; Housings_SOT-23_SOT-143_TSOT-6:SOT-23;             ; 2053833     ; BSS138BK    ;             ;             ;             ;             ;             ;             
| BC847        Q2        ; Housings_SOT-23_SOT-143_TSOT-6:SOT-23;             ; 1773609     ; BC847C-7-F  ;             ;             ;             ;             ;             ;             
| 120R         R53       ; Resistors_SMD:R_0805_HandSoldering; http://www.farnell.com/datasheets/1678782.pdf; 2303452     ; ERJ6ENF1200V;             ;             ;             ;             ;             ;             
| 150R         R3        ; Resistors_SMD:R_0805;             ; ERJ6ENF1500V; 2303460     ;             ;             ;             ;             ;             ;             
| 150R         R14       ; Resistors_SMD:R_0805;             ; ERJ6ENF1500V; 2303460     ;             ;             ;             ;             ;             ;             
| 150R         R19       ; Resistors_SMD:R_0805;             ; 2303460     ; ERJ6ENF1500V;             ;             ;             ;             ;             ;             
| 150R         R22       ; Resistors_SMD:R_0805;             ; ERJ6ENF1500V; 2303460     ;             ;             ;             ;             ;             ;             
| 500R         R4        ; Resistors_SMD:R_0805;             ; 2303491     ; ERJ6ENF3000V;             ;             ;             ;             ;             ;             
| 500R         R29       ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| 500R         R31       ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| 500R         R35       ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| 500R         R37       ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| 500R         R42       ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| 500R         R44       ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| 500R         R49       ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| 500R         R51       ; Resistors_SMD:R_0805;             ; RP73PF2A499RBTDF; 2117129     ;             ;             ;             ;             ;             ;             
| 1k           R1        ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R2        ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R5        ; Resistors_SMD:R_0805;             ; 1577659     ; ERA6AEB102V ;             ;             ;             ;             ;             ;             
| 1k           R6        ; Resistors_SMD:R_0805;             ;             ;             ;             ;             ;             ;             ;             ;             
| 1k           R7        ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R9        ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R12       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R13       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R15       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R16       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R17       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R18       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R20       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R21       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R23       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R24       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R25       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R26       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R30       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R32       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R36       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R38       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R43       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R45       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R50       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 1k           R52       ; Resistors_SMD:R_0805;             ; ERA6AEB102V ; 1577659     ;             ;             ;             ;             ;             ;             
| 2k           R40       ; Resistors_SMD:R_0805;             ; MCTC0525B2001T5E; 1575826     ;             ;             ;             ;             ;             ;             
| 2k           R46       ; Resistors_SMD:R_0805;             ; MCTC0525B2001T5E; 1575826     ;             ;             ;             ;             ;             ;             
| 4,7k         R10       ; Resistors_SMD:R_0805;             ; 2333572     ; CR0805-FX-4701ELF;             ;             ;             ;             ;             ;             
| 10k          R8        ; Resistors_SMD:R_0805;             ; CR0805-FX-1002ELF; 612522      ;             ;             ;             ;             ;             ;             
| 10k          R11       ; Resistors_SMD:R_0805;             ; 612522      ; CR0805-FX-1002ELF;             ;             ;             ;             ;             ;             
| 10k          R27       ; Resistors_SMD:R_0805;             ; CR0805-FX-1002ELF; 612522      ;             ;             ;             ;             ;             ;             
